,index,代码,名称,成交额,总市值,换手率,首次封板时间,date,t-1 open,t-1 close,t-1 high,t-1 low,t-1 volume,t+0 open,t+0 close,t+0 high,t+0 low,t+0 volume,t+1 open,t+1 close,t+1 high,t+1 low,t+1 volume
32,32,600520,文一科技,1369940560,3502887300.0,40.447227478027344,100349,20231030,18.67,20.1,21.39,18.36,1325997783.0,19.3,22.11,22.11,19.3,1369940555.0,23.9,22.5,24.32,21.5,1683394873.0
33,33,000829,天音控股,441652432,9441174978.720001,4.761833667755127,100551,20231030,8.29,8.37,8.43,8.26,104537840.65,8.34,9.21,9.21,8.29,441652431.98,8.99,8.84,9.08,8.79,476360530.23
34,34,002045,国光电器,613169232,7334892187.2,8.574363708496094,100812,20231030,14.27,14.24,14.42,13.58,378983655.45,14.61,15.66,15.66,14.6,613169230.37,15.94,15.74,16.21,15.37,951183107.41
35,35,000656,金科股份,1228200864,8810531136.0,14.332070350646973,101436,20231030,1.5,1.5,1.53,1.49,416149840.51,1.52,1.65,1.65,1.5,1228200862.72,1.65,1.69,1.76,1.59,1671147793.09
36,36,002898,赛隆药业,132511381,2462240000.0,9.673861503601074,102003,20231030,12.32,12.72,12.77,12.09,50839288.5,12.72,13.99,13.99,12.58,132511381.3,14.8,15.39,15.39,14.68,95574558.8
37,37,603890,春秋电子,321812960,4763584520.8,6.98749303817749,102343,20231030,10.05,9.86,10.08,9.6,235619198.0,9.81,10.85,10.85,9.81,321812955.0,11.94,11.08,11.94,10.85,636548770.0
38,38,002123,梦网科技,908529552,12693542148.0,8.483678817749023,102509,20231030,14.0,14.32,14.4,13.77,289999056.53,14.5,15.75,15.75,14.5,908529556.96,15.75,15.33,15.84,15.25,628606462.28
39,39,002940,昂利康,211145393,4191911705.0800004,5.67142391204834,102657,20231030,17.93,18.89,19.06,17.75,46190503.48,18.57,20.78,20.78,18.25,211145393.02,20.9,20.8,21.39,20.11,247663926.13
40,40,603327,福蓉科技,282547168,9270799200.0,3.09309720993042,102846,20231030,12.49,12.44,12.64,12.18,56638139.0,12.55,13.68,13.68,12.45,282547168.0,13.95,14.17,14.5,13.59,449010382.0
41,41,002962,五方光电,326488640,4150886569.44,11.382037162780762,103900,20231030,12.71,12.88,12.93,12.36,160456010.04,12.89,14.17,14.17,12.8,326488635.46,14.17,13.81,14.17,13.67,381800018.66
42,42,002137,实益达,429138848,4025208790.56,15.790115356445312,104318,20231030,6.3,6.34,6.38,6.16,58158559.14,6.35,6.97,6.97,6.33,429138848.37,6.85,6.72,6.93,6.7,371353655.4
